Time consuming,Valve opening,Pressure
0.00,6,5.0
1.01,6,5.0
2.01,6,5.0
3.02,6,5.0
4.02,6,5.0
5.03,6,5.0
6.04,6,5.0
7.06,6,5.0
8.07,6,5.0
9.09,6,5.0
10.10,6,5.0
11.12,6,5.0
12.13,6,5.0
13.15,6,5.0
14.16,6,5.0
15.18,6,5.0
16.19,6,5.0
17.21,6,5.0
18.22,6,5.0
19.23,6,5.0
20.25,6,5.0
21.26,6,5.0
22.28,6,5.0
23.29,6,5.0
24.29,6,5.0
25.30,6,5.0
26.31,6,5.0
27.31,6,5.0
28.32,6,5.0
29.34,6,5.0
30.35,6,5.0
31.37,6,5.0
32.38,6,5.0
33.40,6,5.0
34.41,6,5.0
35.43,6,5.0
36.44,6,5.0
37.46,6,5.0
38.47,6,5.0
39.49,6,5.0
40.50,6,5.0
41.52,6,5.0
42.53,6,5.0
43.55,6,5.0
44.56,6,5.0
45.58,6,5.0
46.59,6,5.0
47.61,6,5.0
48.62,6,5.0
49.64,6,5.0
50.65,6,5.0
51.66,6,5.0
52.68,6,5.0
53.69,6,5.0
54.71,6,5.0
55.72,6,5.0
56.74,6,5.0
57.75,6,5.0
58.77,6,5.0
59.78,6,5.0
60.80,6,5.0
61.81,6,5.0
62.83,6,5.0
63.84,6,5.0
64.86,6,5.0
65.87,9,5.0
66.89,9,5.0
67.90,9,4.9
68.91,9,4.9
69.93,9,4.8
70.94,9,4.7
71.96,9,4.7
72.97,9,4.6
73.99,9,4.6
75.00,9,4.5
76.02,9,4.5
77.03,9,4.5
78.05,9,4.4
79.06,9,4.4
80.08,9,4.4
81.09,9,4.3
82.11,9,4.3
83.12,9,4.3
84.14,9,4.3
85.15,9,4.3
86.17,9,4.2
87.18,9,4.2
88.20,9,4.2
89.21,9,4.2
90.23,9,4.2
91.24,9,4.2
92.25,9,4.2
93.27,9,4.1
94.28,9,4.1
95.30,9,4.1
96.31,9,4.1
97.32,9,4.1
98.34,9,4.1
99.35,9,4.1
100.37,9,4.1
101.38,9,4.1
102.39,9,4.1
103.41,9,4.0
104.42,9,4.0
105.44,9,4.0
106.45,9,4.0
107.47,9,4.0
108.48,9,4.0
109.50,9,4.0
110.51,9,4.0
111.53,9,4.0
112.54,9,4.0
113.55,9,4.0
114.57,9,4.0
115.58,9,4.0
116.60,9,4.0
117.61,9,4.0
